ticker,valor_actual,variacion,volumen,tipo
CXAC,10.53,-0.01,17328,1
CXAI,10.47,-0.21,663363,1
CXAIW,0.17,-16,40693,1
CXDO,1.65,0.14,39220,1
CXE,3.49,0.01,56615,1
CXH,7.35,-0.01,11495,1
CXM,11.21,0.01,495392,1
CXT,47.94,1.26,477688,1
CXW,8.72,0.35,922968,1
CYAD,0.62,-609,44412,1
CYAN,0.97,-98,9851,1
CYBN,0.32,3,1316247,1
CYBR,132.88,6.99,894218,2
CYCC,0.52,42,55616,1
CYCCP,18.80,0.92,5288,1
CYCN,0.28,66,51591,1
CYD,7.50,0.01,9310,1
CYH,3.66,0.07,1879778,1
CYN,0.95,-199,130989,1
CYRX,23.89,2.88,796875,1
CYT,2.21,0.01,15058,1
CYTH,1.30,-44,69089,1
CYTK,39.44,0.15,1882665,1
CYTO,1.02,-0.09,2457125,1
CYXT,0.23,569,4482493,1
CZFS,88.00,2.11,6311,1
CZNC,18.10,0.46,23028,1
CZOO,1.58,0.1,247728,1
CZR,44.68,1.32,3892162,1
CZWI,8.76,0,11488,1
D,56.49,-0.08,4139380,1
DAC,56.51,2.05,151197,1
DADA,5.82,0.26,2361731,1
DAIO,4.32,-0.06,12922,1
DAKT,5.04,0.14,285994,1
DAL,33.94,0.86,8694384,1
DALN,4.44,0.06,48944,1
DALS,10.17,-0.03,19917,1
DAN,14.13,0.76,1403118,1
DAO,6.53,0.41,216471,1
DAR,57.69,2.49,1221536,1
DARE,1.00,79,93564,1
DASH,62.90,0.07,9164609,1
DATS,0.35,-297,51452,1
DATSW,0.07,117,437,1
DAVA,52.14,-3.47,570659,1
DAVE,5.03,-0.12,56557,1
DAVEW,0.03,57,63782,1
DAWN,13.68,0.1,438305,1
DB,10.67,0.39,3816139,1
DBD,0.42,591,5771125,1
DBGI,1.03,574,669072,1
DBGIW,1.44,0,18,1
DBI,7.83,0.38,990579,1
DBL,14.71,0.32,29416,1
DBRG,11.02,0.34,1386388,1
DBRG^H,20.05,0.83,5642,1
DBRG^I,19.87,0.84,6702,1
DBRG^J,19.95,0.4,9626,1
DBTX,3.37,-0.1,20827,1
DBVT,1.65,0.09,45035,1
DBX,21.31,1.69,7564397,1
DC,3.81,0.35,357994,1
DCBO,36.15,0.53,17645,1
DCF,7.85,-0.01,62897,1
DCFC,1.00,98,2373583,1
DCFCW,0.30,-35,313389,1
DCGO,8.41,-0.1,474769,1
DCI,64.50,0.97,346434,1
DCO,48.76,0.57,78140,1
DCOM,18.21,0.52,230051,1
DCOMP,14.50,2.837,15531,1
DCP,41.49,0.02,327699,1
DCP^B,24.98,0.22,15962,1
DCP^C,24.98,0.08,1103,1
DCPH,13.52,0.24,635621,1
DCTH,6.04,0.03,16163,1
DD,65.51,1.45,2639566,1
DDD,9.13,0.4,971170,1
DDI,8.49,3.451,11758,1
DDL,4.00,-0.02,273172,1
DDOG,76.57,1.17,8547214,1
DDS,297.03,13.07,201969,2
DDT,25.60,0.15,4162,1
DE,381.09,7.5,1862616,2
DEA,14.22,0.01,990873,1
DECA,10.54,0,8566,1
DECAU,10.69,0,231,1
DECK,485.24,6.47,204580,2
DEI,12.09,0.58,2977693,1
DELL,45.39,1.21,3699646,1
DEN,88.96,4.34,851449,1
DENN,10.70,0.01,468521,1
DEO,187.76,0.75,220437,2
DERM,1.55,-1,14434,1
DESP,5.61,0.34,201690,1
DFFN,3.81,0.01,3843,1
DFH,16.13,0.73,96536,1
DFIN,42.45,-0.01,329208,1
DFLI,4.98,-0.02,68544,1
DFLIW,0.20,0.01,6000,1
DFP,16.72,0.21,53283,1
DFS,95.96,3.52,1675561,1
DG,218.95,2.38,1227064,2
DGHI,1.73,0.08,33930,1
DGICA,14.48,0.2,24571,1
DGICB,14.69,0,76,1
DGII,31.49,-0.62,326596,1
DGLY,3.38,525,6666,1
DGX,136.51,1.1,1059258,2
DH,10.21,0.31,1476712,1
DHAC,11.24,0,1,1
DHACU,10.83,0,4,1
DHACW,0.10,-125,402,1
DHC,0.88,247,923998,1
DHCA,10.21,0,9,1
DHCNI,10.70,0.05,24447,1
DHCNL,11.61,0.11,18087,1
DHF,2.20,0.02,177702,1
DHI,108.12,0.9,2456307,2
DHIL,161.95,4.26,8313,2
DHR,242.44,0.11,2061636,2
DHT,8.45,0.19,3307757,1
DHX,3.40,0.04,137510,1
DHY,1.91,0.02,201160,1
DIAX,14.77,0.12,74897,1
DIBS,3.90,0.17,132688,1
DICE,38.00,1,629619,1
DIN,64.80,-0.34,296682,1
DINO,38.38,0.12,3809763,1
DIOD,86.04,2.72,180937,1
DIS,100.52,3.07,9287622,2
DISA,10.07,0,27,1
DISAW,0.08,0,16153,1
DISH,7.12,0.47,13965384,1
DIST,10.32,0,62,1
DISTR,0.19,637,189,1
DISTW,0.03,0,1001,1
DIT,180.02,-3.5,1596,2
DJCO,274.96,1.04,1202,2
DK,20.83,1.21,1962525,1
DKDCA,10.74,-499,262,1
DKDCW,0.04,-24,502,1
DKL,44.16,-0.34,28076,1
DKNG,24.58,3.27,34728336,1
DKS,141.60,0.69,686448,2
DLA,11.14,-0.06,18775,1
DLB,84.69,2.87,360956,1
DLHC,10.35,0.02,44144,1
DLNG,2.59,0.04,35932,1
DLNG^A,23.00,-0.16,5272,1
DLNG^B,23.48,0.17,3012,1
DLO,13.82,0.32,3086828,1
DLPN,2.18,0.11,46525,1
DLR,96.42,0.54,2142751,1
DLR^J,21.41,0.26,6736,1
DLR^K,23.97,-894,214058,1
DLR^L,21.05,0.1,26902,1
DLTH,5.65,0.09,62268,1
DLTR,155.47,3.795,1971035,2
DLX,14.41,0.61,307056,1
DLY,14.20,0.4,270052,1
DM,1.75,-0.03,10047136,1
DMA,5.69,-0.01,28238,1
DMAC,1.66,-0.01,9003,1
DMAQ,10.72,-0.18,516,1
DMAQR,0.17,-1,502,1
DMB,10.99,0.11,59381,1
DMF,6.28,0.02,108767,1
DMLP,28.98,1.16,69524,1
DMO,10.70,0.06,57624,1
DMRC,19.49,1.14,69599,1
DMS,0.61,143,20019,1
DMTK,2.31,-0.84,2491201,1
DMYY,10.25,0,1100,1
DNA,1.27,0.05,13570656,1
DNAB,10.27,-2,2564,1
DNAD,10.28,0.01,1490,1
DNB,10.95,0.57,2911881,1
DNLI,26.52,0.04,536624,1
DNMR,3.28,0.2,606013,1
DNN,1.06,0.03,2650185,1
DNOW,9.46,-0.03,818223,1
DNP,10.69,0.13,387800,1
DNUT,14.97,0.21,610509,1
DO,11.51,0.48,1222100,1
DOC,14.52,0.07,2653432,1
DOCN,32.81,0.65,1501298,1
DOCS,34.10,-0.23,1456796,1
DOCU,48.73,1.19,2331250,1
DOGZ,1.00,0.16,2009097,1
DOLE,12.11,-0.09,628630,1
DOMA,0.41,225,387234,1
DOMH,3.14,0.03,9345,1
DOMO,14.12,-0.15,395827,1
DOOO,74.10,1.97,225309,1
DOOR,89.72,2.46,82714,1
DORM,88.39,3.55,79134,1
DOUG,2.88,0.27,600905,1
DOV,144.51,2.56,608684,2
DOW,54.41,1.05,4145272,1
DOX,89.65,0.08,430695,1
DOYU,1.11,0,421931,1
DPCS,10.52,0.04,14682,1
DPCSW,0.03,-15,7000,1
DPG,12.54,0.24,42316,1
DPRO,1.00,488,182180,1
DPSI,6.90,182,11282,1
DPZ,311.11,-0.3,493810,2
DQ,44.73,2.84,866904,1
DRCT,2.94,-0.21,22349,1
DRCTW,0.70,-0.02,100,1
DRD,13.11,0.24,1131706,1
DRH,8.48,0.06,5119633,1
DRH^A,25.72,0.03,654,1
DRI,153.09,0.17,1225539,2
DRIO,3.82,0.17,125455,1
DRMA,1.73,0.15,380794,1
DRMAW,0.03,-33,3210,1
DRQ,26.70,0.51,146196,1
DRRX,4.34,0.1,188066,1
DRS,15.73,0.38,396240,1
DRTS,2.96,0.14,23626,1
DRTSW,0.22,-0.02,1800,1
DRTT,0.37,0,11844,1
DRUG,0.58,-159,44117,1
DRVN,28.20,-0.71,632548,1
DSAQ,10.54,0,1000,1
DSEY,8.22,0.07,2057521,1
DSGN,7.58,0,439090,1
DSGR,47.61,0.93,19778,1
DSGX,76.34,2.54,159697,1
DSKE,7.60,-0.13,299832,1
DSL,11.84,0.25,472302,1
DSM,5.71,0.01,126314,1
DSP,4.24,0.17,24312,1
DSS,0.22,-21,50347,1
DSU,9.73,0.1,90902,1
DSWL,2.71,-0.01,1370,1
DSX,3.75,0.24,556726,1
DSX^B,25.35,-0.1,2678,1
DT,43.96,0.31,2907794,1
DTB,20.09,0.33,4566,1
DTC,7.13,-0.27,372338,1
DTE,113.36,0.68,823186,2
DTF,10.92,0.01,3825,1
DTG,20.76,0.31,14032,1
DTIL,0.85,251,488178,1
DTM,46.92,1.46,717210,1
DTOC,10.22,0,104,1
DTOCW,0.10,12,239948,1
DTSS,1.13,35,7666,1
DTST,1.79,0.09,11059,1
DTW,23.54,0.41,19733,1
DUET,10.45,0.04,1513,1
DUK,99.36,1.25,2588889,1
DUK^A,25.42,0.22,37076,1
DUKB,24.92,0.28,36353,1
DUNE,9.97,0.09,12441,1
DUNEU,9.95,0.07,2148,1
DUNEW,0.02,-37,34205,1
DUO,1.02,97,28563,1
DUOL,123.56,3.9,669462,2
DUOT,3.73,-0.02,4948,1
DV,26.89,0.23,696808,1
DVA,88.47,1.26,590507,1
DVAX,11.27,0.36,1603443,1
DVN,50.36,2.12,8310621,1
DWAC,12.92,-0.06,126256,1
DWACU,14.04,0.11,344,1
DWACW,2.82,0.05,11524,1
DWSN,2.01,0.05,1548,1
DX,10.93,0.23,787685,1
DX^C,21.02,0,12197,1
DXC,22.69,0.45,2038732,1
DXCM,120.82,3.4,2170190,2
DXF,0.26,96,2886274,1
DXLG,4.49,0.16,462460,1
DXPE,24.61,0.54,56352,1
DXR,11.97,0.37,930,1
DXYN,0.83,0.05,48363,1
DY,95.40,4.12,494625,1
DYAI,1.65,-0.05,15618,1
DYN,13.97,1.87,653467,1
DYNT,1.41,0.02,4136,1
DZSI,6.62,0.02,106069,1
E,30.01,1.36,197423,1
EA,125.42,1.41,2806518,2
EAC,10.36,0,3,1
EACPW,0.03,0.01,300,1
EAD,6.39,0.08,137292,1
EAF,4.27,0.06,1281778,1
EAI,23.19,0.35,7332,1
EAR,5.30,0.1,13787,1
EARN,6.93,0.09,60213,1
EAST,0.18,-49,217140,1
EAT,38.05,-0.95,1065825,1
EB,6.46,0.15,2147933,1
EBAY,45.63,1.25,5206443,1
EBC,10.90,0.3,2103896,1
EBET,0.31,-83,202224,1
EBF,19.45,0.27,102925,1
EBIX,15.85,-0.06,267026,1
EBMT,12.42,0.37,6958,1
EBON,6.05,-0.04,9624,1
EBR,6.90,0.13,1284353,1
EBS,8.96,0.42,956629,1
EBTC,27.74,0.84,26959,1
EC,9.20,0.54,2467585,1
ECAT,15.61,0.29,258123,1
ECBK,11.19,0.73,29394,1
ECC,11.50,0.12,226654,1
ECC^D,20.30,0.05,840,1
ECCC,21.40,3.495,554,1
ECCV,21.74,0,2342,1
ECCW,22.75,0.55,1928,1
ECCX,23.77,0.7,1021,1
ECF,7.95,-0.05,29271,1
ECF^A,23.69,-2.527,400,1
ECL,173.67,1.31,959566,2
ECOR,5.76,0.06,6981,1
ECPG,48.57,1.63,215561,1
ECVT,10.60,-0.03,1675822,1
ECX,5.22,0.14,121532,1
ECXWW,0.10,16,5000,1
ED,99.49,0.97,2218632,1
EDAP,11.92,0.52,90161,1
EDBL,1.77,-201,854812,1
EDBLW,0.08,0,103,1
EDD,4.77,0.05,225226,1
EDF,4.19,-0.01,40983,1
EDI,5.15,786,19899,1
EDIT,9.77,1.05,4447241,1
EDN,8.99,-125,16927,1
EDR,25.10,0.37,1544112,1
EDRY,15.38,0.37,7729,1
EDSA,1.06,-0.03,113929,1
EDTK,1.68,0.05,11172,1
EDTX,11.22,0,2,1
EDTXW,0.03,1,100,1
EDU,41.32,0.42,1689482,1
EDUC,1.92,1.099,15787,1
EE,21.04,1.03,183175,1
EEA,8.65,0.1,7069,1
EEFT,110.25,4.29,230793,2
EEIQ,1.45,0.15,2486,1
EEX,3.58,0.15,67311,1
EFC,12.05,0.27,769295,1
EFC^A,19.65,0.3,8052,1
EFC^B,17.84,0.33,846,1
EFC^C,20.80,0.55,2418,1
EFHT,10.27,0,10454,1
EFHTR,0.11,0,8,1
EFOI,0.47,267,64562,1
EFR,11.37,0.09,73106,1
EFSC,39.35,1.74,224501,1
EFSCP,15.05,0.74,6970,1
EFSH,0.72,195,3725,1
EFT,11.41,0.01,75495,1
EFTR,0.49,-105,74941,1
EFTRW,0.14,-36,1050,1
EFX,200.11,2.87,455628,2
EFXT,6.23,0.21,95187,1
EGAN,7.34,0.14,37979,1
EGBN,20.62,0.35,347709,1
EGF,10.00,0.13,232,1
EGGF,10.22,0,820771,1
EGHT,2.76,0.18,1644043,1
EGIO,0.58,326,683714,1
EGLE,41.64,0.17,503450,1
EGLX,0.51,88,517307,1
EGO,11.99,0.07,1668252,1
EGP,171.55,2.4,229025,2
EGRX,28.65,0.28,71060,1
EGY,4.27,0.16,1189212,1
EH,11.17,0,268601,1
EHAB,13.24,0.28,552455,1
EHC,62.46,-0.45,432240,1
EHI,7.45,0.17,36579,1
EHTH,6.29,0.41,415832,1
EIC,14.67,-0.11,14777,1
EICA,23.80,0,4,1
EIG,38.81,-0.42,106738,1
EIGR,1.13,-0.02,136023,1
EIM,10.21,0.07,114953,1
EIX,73.56,1.07,1569747,1
EJH,0.28,-199,1146376,1
EKSO,1.60,559,29081,1
EL,203.54,2.54,3312337,2
ELA,6.73,0.23,27454,1
ELAN,9.31,0.37,4286821,1
ELBM,1.87,0.03,18880,1
ELC,23.38,0.47,9032,1
ELDN,2.68,0.16,500858,1
ELEV,3.95,0.45,131815,1
ELF,88.39,-1.03,1111680,1
ELLO,15.45,1.21,1502,1
ELMD,11.25,0.37,11086,1
ELME,16.58,0.17,601970,1
ELOX,5.25,-0.96,57491,1
ELP,7.67,0.03,220857,1
ELS,69.18,1.21,574014,1
ELSE,4.53,0,8,1
ELTK,4.03,1.145,3822,1
ELV,464.47,7.78,800259,2
ELVN,19.64,0.96,114411,1
ELYM,3.39,0.18,1457,1
ELYS,0.51,-5,83341,1
EM,1.00,-0.01,38717,1
EMAN,1.70,0.09,306710,1
EMBC,29.16,0.64,383177,1
EMBK,2.85,0.19,175592,1
EMBKW,0.02,-52,82078,1
EMCG,10.48,0,5,1
EMCGW,0.03,-11,100,1
EMD,8.66,0.02,84219,1
EME,167.88,2.61,232187,2
EMF,11.46,1.503,11895,1
EMKR,1.06,-0.05,471946,1
EML,17.10,0.3,2594,1
EMLD,10.26,0,1565,1
EMLDU,10.30,0.01,100,1
EMLDW,0.11,97,104,1
EMN,80.95,2.11,758408,1
EMO,27.26,0.74,14769,1
EMP,23.18,0.11,8541,1
EMR,84.40,1.66,3884799,1
EMX,2.08,55,242160,1
ENB,39.91,0.64,3219754,1
ENCPW,0.09,75,10000,1
ENER,10.32,0,201,1
ENERR,0.07,-352,2308,1
ENERW,0.04,-5,1154,1
ENFN,8.65,0.11,345590,1
ENG,0.44,196,479324,1
ENIC,2.92,0.12,1307194,1
ENJ,23.90,393,1602,1
ENLC,8.82,0.35,2221070,1
ENLT,17.46,0.32,53169,1
ENLV,2.74,-0.05,6140,1
ENO,24.18,2.375,2284,1
ENOB,1.25,0.04,22022,1
ENOV,57.43,-0.11,732631,1
ENPH,159.65,4.23,3401122,2
ENR,32.74,0.59,575198,1
ENS,84.39,3.17,167665,1
ENSC,3.39,-0.11,64592,1
ENSG,92.48,0.09,340402,1
ENSV,0.41,112,208925,1
ENTA,36.02,-0.28,178432,1
ENTF,10.57,0,10,1
ENTFU,10.67,1.634,100,1
ENTFW,0.07,0,14,1
ENTG,78.77,4.08,2072531,1
ENTX,0.82,-589,16961,1
ENTXW,0.02,-171,1163,1
ENV,55.74,-5.12,973028,1
ENVA,43.31,1.15,176904,1
ENVB,2.04,0.12,25727,1
ENVX,12.64,0.87,5030770,1
ENX,9.71,0.1,46140,1
ENZ,2.57,-0.07,98295,1
EOCW,10.30,0,21,1
EOD,4.28,0.07,71557,1
EOG,114.17,2.86,6165453,2
EOI,15.81,0.3,25345,1
EOLS,8.50,0.19,350276,1
EOS,16.30,0.25,89864,1
EOSE,2.03,0.19,4988310,1
EOSEW,0.95,987,19870,1
EOT,17.31,0.08,21131,1
EP,9.16,-0.1,20337,1
EP^C,46.11,2.936,1830,1
EPAC,23.69,0.56,364622,1
EPAM,242.47,-27.94,1495634,2
EPC,42.80,-0.4,495786,1
EPD,25.60,0.33,4312405,1
EPIX,2.97,0.03,11568,1
EPM,6.38,0.15,132543,1
EPOW,1.84,-0.03,11611,1
EPR,42.30,0.12,297637,1
EPR^C,19.54,0.09,10474,1
EPR^E,27.11,2.092,3657,1
EPR^G,19.03,0.08,5593,1
EPRT,25.22,0.04,696397,1
EPSN,5.15,0.15,75217,1
EQ,0.53,-101,242836,1
EQBK,21.64,0.2,77853,1
EQC,20.82,0.12,973535,1
EQC^D,25.05,0,6313,1
EQH,24.03,1.04,4101443,1
EQH^A,18.98,0.16,60346,1
EQH^C,15.35,0.26,37224,1
EQIX,740.00,10.66,431304,2
EQNR,29.54,1.81,3257113,1
EQR,63.38,0.9,1264632,1
EQRX,1.85,0.09,2096955,1
EQRXW,0.16,101,463,1
EQS,1.56,-0.01,3953,1
EQT,32.35,1.31,5568060,1
EQX,5.68,0.07,2258656,1
ERAS,2.92,0.06,466141,1
ERC,9.06,0.05,45517,1
ERES,10.28,0,305,1
ERESW,0.25,0,5333,1
ERF,14.61,0.68,1237694,1
ERH,10.63,1.099,9610,1
ERIC,5.42,0.1,7360015,1
ERIE,228.03,3.17,63824,2
ERII,24.21,0.94,484036,1
ERJ,13.28,-0.24,3331950,1
ERNA,3.14,-0.08,7675,1
ERO,20.54,0.74,108850,1
ERYP,0.71,0.01,3083,1
ES,77.44,0.72,1336408,1
ESAB,60.63,1.87,152897,1
ESAC,10.72,0,76156,1
ESACU,10.09,0,10,1
ESCA,15.74,0.3,17666,1
ESE,97.17,3.19,59557,1
ESEA,18.42,145,12786,1
ESGR,248.00,7.93,37039,2
ESGRO,23.78,295,3813,1
ESGRP,22.22,0.56,13511,1
ESI,18.13,0.5,769583,1
ESLT,192.94,1.56,11909,2
ESMT,16.00,-0.16,726883,1
ESNT,42.62,1.59,592921,1
ESOA,2.13,-0.02,16934,1
ESP,21.45,0.44,3314,1
ESPR,1.40,-0.01,1580551,1
ESQ,38.56,2.22,28289,1
ESRT,5.79,0.05,1036360,1
ESS,220.00,3.4,283721,2
ESSA,14.18,0.18,23661,1
ESTA,67.70,0.8,122122,1
ESTC,56.67,-0.05,640859,1
ESTE,13.05,0.71,1623564,1
ET,12.36,-0.25,13289212,1
ET^C,23.97,15,23499,1
ET^D,23.54,0.11,87587,1
ET^E,23.21,0.51,33514,1
ETAO,0.74,-269,126611,1
ETB,12.85,0.2,43236,1
ETD,27.16,0.52,232414,1
ETG,16.21,0.49,213552,1
ETI^,23.71,139,1085,1
ETJ,7.87,0.14,154401,1
ETN,171.05,2.61,1914883,2
ETNB,16.67,0.51,1479123,1
ETO,22.14,0.24,35016,1
ETON,3.60,0.04,11573,1
ETR,107.36,1.26,741667,2
ETRN,5.11,0.22,4035936,1
ETSY,90.00,-2.55,6990426,1
ETV,12.24,0.17,282445,1
ETW,8.10,0.11,322567,1
ETWO,4.62,0.23,2713692,1
ETX,17.92,-0.02,15199,1
ETY,11.62,0.18,153322,1
EU,2.26,0.15,278520,1
EUDA,1.45,-0.05,436958,1
EUDAW,0.09,4,1388,1
EURN,15.84,0.3,1096529,1
EVA,9.01,2,9282496,1
EVAX,1.32,0.01,26049,1
EVBG,23.86,0.85,521887,1
EVBN,25.81,0.23,16264,1
EVC,5.65,-0.22,596893,1
EVCM,12.22,0.15,128006,1
EVE,10.47,0.01,10510,1
EVER,6.59,0.28,414511,1
EVEX,7.41,-0.34,33202,1
EVF,5.29,0.02,57954,1
EVG,9.96,0.03,30558,1
EVGN,0.58,0.01,29338,1
EVGO,6.18,0.23,1367103,1
EVGOW,0.71,371,18910,1
EVGR,10.60,0.03,1014,1
EVGRU,10.50,0,67,1
EVGRW,0.14,638,15390,1
EVH,34.01,0.46,1316399,1
EVI,20.33,0.71,6980,1
EVLO,0.14,-59,1036238,1
EVLV,3.84,0.27,1126007,1
EVLVW,0.63,588,44963,1
EVM,8.88,0.02,72246,1
EVN,10.11,75,48966,1
EVO,9.43,-15,13931,1
EVOJ,10.20,0.08,4288,1
EVOJU,10.10,0.07,130,1
EVOJW,0.00,-204,133375,1
EVOK,2.22,0.21,38223,1
EVR,108.63,1.79,357400,2
EVRG,62.59,0.41,1523621,1
EVRI,15.13,0.35,1446275,1
EVT,22.18,0.43,98405,1
EVTC,34.00,-0.05,351838,1
EVTL,1.83,0.03,182368,1
EVTV,2.25,445,6671,1
EVV,9.38,0.02,357183,1
EW,88.74,0.84,1567442,1
EWBC,44.21,2.82,3549025,1
EWCZ,18.11,0.52,149157,1
EWTX,9.70,0.17,215459,1
EXAI,5.21,0.17,157640,1
EXAS,67.30,1.55,1728576,1
EXC,42.85,0.29,3849846,1
EXEL,19.48,0,1909403,1
EXFY,7.46,0.27,189005,1
EXG,7.79,0.14,430225,1
EXK,4.21,0.01,2389595,1
EXLS,157.04,-6.95,344465,2
EXP,160.08,3.68,546357,2
EXPD,117.67,0.71,1424405,2
EXPE,93.54,4.37,7073255,1
EXPI,13.20,0.52,892477,1
EXPO,89.32,1.09,223820,1
EXPR,0.85,369,496016,1
EXR,154.74,3.95,1586914,2
EXTR,16.45,0.02,1205649,1
EYE,22.40,0.16,1041002,1
EYEN,4.60,-0.41,753207,1
EYPT,6.54,-0.24,431342,1
EZFL,2.24,0.25,34338,1
EZGO,1.58,-0.11,19595,1
EZPW,9.18,0.58,1192758,1
F,11.99,0.43,64138755,1
F^B,24.99,0.47,30440,1
F^C,24.24,0.52,29006,1
F^D,24.27,5.272,49268,1
FA,12.51,0.2,284387,1
FACT,10.41,5,375,1
FAF,58.29,1.23,402440,1
FAM,5.90,0.01,10311,1
FAMI,0.48,-133,154394,1
FANG,132.80,6.81,2272085,2
FANH,7.91,0.01,8788,1
FARM,2.73,0,90752,1
FARO,13.75,0.44,698012,1
FAST,54.66,0.64,2161388,1
FAT,5.40,-0.15,15026,1
FATBB,5.55,-0.7,8592,1
FATBP,15.20,-0.05,7906,1
FATBW,3.60,-0.1,362,1
FATE,5.68,-0.49,3074396,1
FATH,0.43,-0.03,240807,1
FATP,10.58,199,16349,1
FATPU,11.48,0,25,1
FATPW,0.07,149,2800,1
FAX,2.74,0.02,924952,1
FAZE,0.50,196,208257,1
FAZEW,0.04,-5,7834,1
FBIN,63.85,1.45,780492,1
FBIO,0.73,-25,413934,1
FBIOP,18.50,295,2627,1
FBIZ,26.02,4.775,16831,1
FBK,26.31,1.22,235720,1
FBMS,25.60,1.59,229182,1
FBNC,29.08,1.2,233359,1
FBP,11.30,0.54,1532981,1
FBRT,12.74,0.34,212624,1
FBRT^E,18.82,0.12,9981,1
FBRX,1.05,-0.01,21781,1
FC,35.62,0.64,66589,1
FCAP,23.16,0.01,465,1
FCBC,23.98,0.69,38516,1
FCCO,18.60,-0.02,14959,1
FCEL,2.46,0.22,18252858,1
FCF,12.26,0.51,885586,1
FCFS,104.80,2.93,168730,2
FCN,175.11,-2.03,290539,2
FCNCA,1003.73,46.21,201403,2
FCNCO,19.20,0.14,20406,1
FCNCP,20.67,285,20690,1
FCO,5.04,0.02,47797,1
FCPT,26.15,0.27,401190,1
FCRX,23.25,-0.39,1364,1
FCT,9.64,0.04,71100,1
FCUV,1.98,0.1,58063,1
FCX,36.47,1.25,13539351,1
FDBC,41.78,1.18,1668,1
FDEU,13.17,0.21,131817,1
FDMT,16.94,0.86,1974157,1
FDP,27.00,0.49,315289,1
FDS,405.85,10.84,240781,2
FDUS,18.78,0.68,74386,1
FDX,229.30,2.93,1157919,2
FE,39.70,0.79,5792595,1
FEAM,4.62,-0.03,145849,1
FEDU,9.58,-1.22,1287,1
FEI,7.51,0.13,103608,1
FEIM,6.63,-0.02,4533,1
FELE,95.31,1.62,202398,1
FEMY,0.86,-141,16383,1
FEN,12.67,0.04,37675,1
FENC,8.19,0.14,46191,1
FENG,2.71,-1.901,40889,1
FERG,139.51,1.83,803822,2
FET,21.69,0.94,46286,1
FEXD,10.52,0,5,1
FEXDR,0.14,0,7,1
FEXDW,0.04,0,121207,1
FF,7.68,0.09,126670,1
FFA,16.74,0.31,21948,1
FFBC,19.67,0.73,355840,1
FFC,13.07,0.07,117961,1
FFIC,10.37,0.56,245414,1
FFIE,0.24,135,112332142,1
FFIEW,0.07,15,123731,1
FFIN,27.85,0.76,682459,1
FFIV,133.22,2.09,462315,2
FFNW,10.07,-0.57,24669,1
FFWM,4.58,0.38,2111437,1
FG,16.12,1.19,188152,1
FGB,2.92,0.05,21334,1
FGBI,12.49,0.78,22716,1
FGBIP,17.91,0.64,3710,1
FGEN,17.41,0.71,1897955,1
FGF,2.37,1.072,651,1
FGFPP,13.26,-6.256,183,1
FGH,1.90,-0.13,19276,1
FGI,1.79,93,13782,1
FGMC,10.48,0,67276,1
FGMCW,0.12,75,32704,1
FHB,17.09,0.36,1004687,1
FHI,39.00,-0.12,841074,1
FHLTU,9.85,-0.31,100,1
FHN,10.94,0.88,45327706,1
FHN^B,17.58,1.51,162525,1
FHN^C,18.00,1.79,26847,1
FHN^D,17.70,1.24,173676,1
FHN^E,17.99,1.885,98559,1
FHN^F,13.80,1.8,181568,1
FHTX,6.05,0.08,99980,1
FIAC,10.47,0.02,423,1
FIACU,10.44,0.04,101,1
FIACW,0.04,-14,255,1
FIBK,23.85,1.23,1469566,1
FICO,731.98,-4.67,148259,2
FICV,10.27,0,20055,1
FICVU,10.74,0,1,1
FICVW,0.12,0,399,1
FIF,14.21,0.3,12855,1
FIGS,7.70,0.77,6568978,1
FINS,11.95,-0.08,94468,1
FINV,4.01,0.16,345458,1
FINW,7.89,-0.24,44104,1
FIP,3.10,0,365477,1
FIS,55.75,2.52,4910412,1
FISI,16.07,0.98,62668,1
FISV,120.30,2.52,2163176,2
FITB,24.92,1.68,12577936,1
FITBI,24.26,0.65,59775,1
FITBO,20.10,0.53,29977,1
FITBP,21.60,0.3,27221,1
FIVE,195.80,1.4,589541,2
FIVN,55.59,-0.91,4935274,1
FIX,151.87,3.88,464654,2
FIXX,1.00,174,139314,1
FIZZ,52.19,-1.33,157144,1
FKWL,3.77,399,1402,1
FL,41.08,1.71,1323177,1
FLAG,10.30,0.01,520,1
FLC,13.91,0.21,46956,1
FLEX,20.50,0.38,4430346,1
FLFV,10.43,0,22,1
FLFVW,0.02,-25,9500,1
FLGC,0.20,109,900340,1
FLGT,33.93,5.41,717726,1
FLIC,10.37,0.85,243955,1
FLJ,0.94,1.201,124649,1
FLL,6.39,-0.22,97767,1
FLME,10.15,0.01,300,1
FLNC,17.93,1.48,1634408,1
FLNG,32.19,0.66,548096,1
FLNT,0.72,0.01,77757,1
FLO,28.44,-0.06,1242851,1
FLR,27.21,-0.2,3454763,1
FLS,35.37,0.92,625503,1
FLT,231.19,7.59,811107,2
FLUX,3.88,0.27,28381,1
FLWS,7.92,0.41,787773,1
FLXS,16.88,0.39,7254,1
FLYW,28.76,0.53,775726,1
FMAO,20.75,0.49,11619,1
FMBH,23.83,0.7,42949,1
FMC,113.49,1.6,816066,2
FMIV,10.18,-0.02,2150,1
FMIVW,0.11,0,5119,1
FMN,10.73,0.06,37035,1
FMNB,11.40,0.32,111536,1
FMS,23.42,0.27,1624868,1
FMX,98.03,1.7,273685,1
FMY,11.35,904,2823,1
FN,93.08,1.85,283887,1
